Content_Intent_Score,Emotion_Reputation_Score,Influence_Impact_Score,Cluster
-0.9444941920245854,1.4676648282276195,-0.06689782078880402,0
-0.9444941920245854,-1.701731591039955,-0.3145045898674648,2
0.955195778860572,-0.7593924483801191,0.137239596216433,1
-0.18461820367052242,-0.3599896457844194,0.07791668077785201,2
0.5752577846835405,1.9631108409656783,-0.06432994210541278,0
0.19531979050650908,-0.45564915533309397,0.2992354254132693,1
0.955195778860572,-1.5808954194594944,-0.14214306310122984,1
-0.18461820367052242,0.13805372481858344,-0.0705199572045963,0
-1.7043701803786484,0.34055909199336115,-0.26817144606005633,2
0.955195778860572,-1.418472006609647,-0.23813760100042755,1
0.5752577846835405,0.6993486625190283,-0.12585382850541915,0
-0.18461820367052242,0.01689288350500478,-0.05746374631131381,2
1.3351337730376036,1.1972739714008973,0.06714974107133906,0
-0.18461820367052242,0.8966002831033515,0.18051047453851463,0
-0.18461820367052242,-1.0451313289542372,0.09361249424991375,2
0.5752577846835405,-1.0146714049017127,0.5767069418607415,1
1.3351337730376036,-1.4757614567898312,-0.3541341045758409,1
-1.3244321862016168,0.08513255832035033,-0.2666197497537848,2
-0.18461820367052242,0.454429622026927,-0.3131119365634487,0
0.19531979050650908,-1.463837222955316,-0.30967383260262166,1
0.5752577846835405,-0.24966096738486848,-0.2124274888211771,1
0.5752577846835405,0.1919193850858871,1.157802659985345,1
-0.18461820367052242,-1.2514737020658644,-0.13380654901472247,2
1.3351337730376036,0.5371023422508817,-0.04036434992146474,1
-0.9444941920245854,0.39507409172690094,-0.2337630022515621,2
1.3351337730376036,0.9787122101519206,-0.2814251924078346,0
0.955195778860572,-0.8867810454835068,0.04083972450946397,1
0.955195778860572,-1.4076398436956195,-0.31834915880361775,1
0.5752577846835405,0.10207441530305296,-0.12947149372642971,1
-0.564556197847554,-2.0372334870719766,-0.05504460093026251,2
0.955195778860572,0.5051076158236174,-0.07092939450465628,1
0.955195778860572,-0.1910728382722122,-0.014154572670282362,1
0.5752577846835405,1.1089342885625197,-0.1897880770928389,0
0.19531979050650908,-0.7609862816154256,0.0030477239970502015,1
-0.18461820367052242,1.550839310766393,-0.10860659209886461,0
0.19531979050650908,-0.3520204796078869,-0.2058372580536771,1
-0.18461820367052242,-1.0158225066827675,-0.16490016891878645,2
0.955195778860572,-0.235257437406543,-0.24463381119806196,1
0.19531979050650908,0.16420439604972395,0.14212269205686465,0
-0.18461820367052242,1.0729844944772728,-0.13035675112046516,0
1.715071767214635,-0.3614359018683087,0.00975781697997962,1
0.5752577846835405,-0.07174195363620761,0.6212250692817306,1
0.5752577846835405,0.24206610113747537,0.05580283320983218,1
-0.564556197847554,2.3829973521780947,0.030764628367322296,0
-0.9444941920245854,0.63450326218628,-0.1494073164109553,0
0.19531979050650908,-0.6665664201386561,-0.3075304909834565,1
0.19531979050650908,0.530431855006821,-0.012134226945714633,0
0.5752577846835405,-1.021902685321159,-0.06617850308786098,1
-0.18461820367052242,-2.0405392152637236,0.08588036764330732,2
-0.9444941920245854,-1.0397004897820818,-0.06041341574344905,2
-1.3244321862016168,0.07261801588016584,0.37043180588749924,2
-1.3244321862016168,1.1910167001808052,-0.27095217733705557,0
-0.18461820367052242,0.2862802157020894,-0.10502359362756718,0
-0.18461820367052242,-2.075396938428483,-0.23838174427617206,2
0.19531979050650908,-1.6210068892147083,-0.21707524605633505,1
-1.7043701803786484,1.7320050218462337,0.018771829389298222,0
0.19531979050650908,0.25416742755369154,0.19440214990085236,0
-2.0843081745556797,-1.6197672411428035,-0.26140215999941796,2
-0.564556197847554,-1.3143120531393377,-0.11464069007693149,2
-2.0843081745556797,-1.6301861880328625,-0.1056651471775408,2
-0.9444941920245854,0.8455090732826924,-0.2684550242811922,0
-0.18461820367052242,-1.8508435448319647,-0.2620943791199458,2
-1.3244321862016168,0.8846760492688361,-0.11446984873886042,0
-1.7043701803786484,-0.7340386937666321,-0.029165565827257527,2
-1.7043701803786484,-0.611431596369164,-0.017488367837805312,2
-2.0843081745556797,-0.5177201052191976,-0.12325681947558056,2
0.19531979050650908,-0.7811748359293081,-0.061389509359417616,1
-0.18461820367052242,0.6637235381668992,0.00013136113534320865,0
-2.0843081745556797,0.600708094511725,-0.24664337161696942,2
0.19531979050650908,0.05676822981795114,-0.1632189019483232,1
-0.9444941920245854,-0.3542931677397129,-0.33777563580874337,2
0.955195778860572,1.2448528450178253,-0.28487429418874005,0
-0.18461820367052242,0.6704530562715265,-0.2548477496626654,0
-1.7043701803786484,-1.5267936357499232,-0.2843199157064543,2
-2.0843081745556797,-1.2748204074200764,-0.02015515700623363,2
-0.564556197847554,0.7831134536634708,-0.038297001088969426,0
0.19531979050650908,-0.18271997150199476,-0.17529010504558254,1
-0.9444941920245854,-0.18552393737892292,-0.07923425227290261,2
1.3351337730376036,2.169718852949856,-0.09980802525704213,0
1.3351337730376036,0.5595931001268737,-0.07807448629032673,1
0.5752577846835405,0.813425800564578,-0.025558221280444136,0
-0.564556197847554,-1.7187324788832248,-0.26649663109022526,2
1.3351337730376036,0.18837753345187241,-0.3480599652258775,1
-0.9444941920245854,0.8602667884244194,-0.034514568162138014,0
-1.3244321862016168,0.7813130124161801,-0.20500806692904647,0
0.5752577846835405,0.46166090244637314,-0.05301184125646323,0
-0.564556197847554,-0.26382837392092634,-0.26424123696563745,2
-0.564556197847554,-0.9632555253479358,-0.014424657093346192,2
-1.3244321862016168,0.6077032514889036,-0.10395980761894522,2
0.19531979050650908,-0.8344206721606591,-0.29770429599078413,1
-1.7043701803786484,-0.07062036728543641,0.22652511903240516,2
2.0950097613916663,1.3764916640820302,-0.025184378303143747,0
0.5752577846835405,0.24962205129003948,-0.29723835562803863,1
-0.18461820367052242,1.5401252095734992,-0.07524841698419524,0
-0.564556197847554,-0.42020112356266565,-0.1266305250928005,2
-1.3244321862016168,1.708717347352588,-0.282325213187789,0
1.715071767214635,-1.0038392419876851,-0.05021130826423658,1
0.5752577846835405,-0.3076292724615721,-0.3089226823880347,1
-0.18461820367052242,0.6009147025237093,0.08103054613919349,0
0.5752577846835405,-0.935570051742056,0.07469051011003264,1
-0.564556197847554,0.006385390324095129,-0.287346993899606,2
-0.18461820367052242,0.2598048747378311,0.06118776191960802,0
0.955195778860572,-0.29419975168260054,-0.08303853591370271,1
0.5752577846835405,-1.1945384370490815,-0.12382569069417991,1
0.5752577846835405,-0.6060893034878589,-0.10109141725787006,1
1.3351337730376036,0.16216783136016538,-0.27844959306064726,1
0.5752577846835405,0.8680883774495348,-0.3291962036622109,0
-0.564556197847554,-0.5946668319681622,-0.25601898046610794,2
-1.3244321862016168,1.1496065514931193,-0.23234149470620513,0
0.19531979050650908,0.11352640225303304,-0.08958656512748192,0
-0.9444941920245854,1.3314511174694792,-0.18484605456907055,0
-0.564556197847554,-0.05149436846175816,-0.15660242849435094,2
0.5752577846835405,0.6775662749698391,-0.10325875448745393,0
-0.9444941920245854,0.2801114907728475,-0.121977088822143,2
0.955195778860572,-0.048542825433412824,-0.3380268220187749,1
-0.564556197847554,1.0615620229575757,-0.27343043473549355,0
2.0950097613916663,-0.6639985777039958,-0.16792911785940967,1
0.19531979050650908,-0.6036395227743323,5.122432724609362,1
-1.7043701803786484,0.3400573296785426,-0.12924724904187246,2
-0.18461820367052242,0.6309023796916984,-0.0676178780445162,0
2.474947755568698,-0.13847634150709717,-0.32507880798328703,1
-0.564556197847554,0.6889297156289687,0.5000258807552594,0
0.19531979050650908,0.34935469021783094,-0.1315120567824084,0
1.3351337730376036,-1.6406051349229218,0.00913159025187081,1
-0.564556197847554,-1.44609844935496,-0.0670858730786329,2
0.955195778860572,-1.0393167891883968,-0.24386772060474873,1
-1.7043701803786484,-1.4523557205750521,0.29051761506858276,2
-0.9444941920245854,0.4476705884920159,-0.3715478084507823,2
-0.18461820367052242,-0.3396830297494031,-0.020968229927025798,2
0.5752577846835405,0.07896383339110834,-0.3535577289972052,1
1.715071767214635,-0.1280869100473213,2.5120917939014475,1
0.19531979050650908,-1.6273231912953674,0.08575030071801892,1
1.3351337730376036,0.13578103668675753,-0.32079182052795946,1
1.3351337730376036,-0.26362176590894215,0.013583098455005445,1
-0.564556197847554,0.19003039754774592,-0.03651626061603749,2
-1.7043701803786484,1.0330501173037594,-0.09702626272566232,0
-0.564556197847554,0.205378421295142,-0.21817731357465645,2
-0.9444941920245854,0.35381152019063233,-0.09016221883146854,2
-0.9444941920245854,-0.8947502116600391,-0.10312898438203674,2
1.715071767214635,-0.9021290692309027,-0.38781152342993946,1
1.3351337730376036,0.17285241712277574,-0.1956105356866025,1
0.5752577846835405,-1.5045390013161988,-0.08893460781722795,1
-0.9444941920245854,1.750511196633959,-0.40137741071240396,0
-1.3244321862016168,-0.8471123071825444,-0.08398683648120324,2
-0.564556197847554,-1.494533270450108,1.8275250742252793,2
-0.9444941920245854,0.6099169087601625,-0.30505478995307117,0
-0.564556197847554,0.3875476570046201,-0.25040570701322484,0
0.5752577846835405,-0.13770894031972733,-0.2850682789480226,1
1.3351337730376036,-0.37861388229327914,0.08466883205979296,1
-1.3244321862016168,-2.123182420057395,0.4045704258258576,2
-2.0843081745556797,1.0530025481753742,-0.17926222293199215,2
-2.0843081745556797,0.5380763514502355,-0.22782575671989852,2
-0.9444941920245854,-0.40500067696668685,13.067510369497349,3
0.5752577846835405,0.7914368050034046,-0.1158477978613648,0
-0.564556197847554,-0.5873765206881492,-0.24710940484016133,2
0.955195778860572,-0.5038478529859743,-0.17299728963994832,1
1.3351337730376036,-0.7680109540228875,-0.23218911595242891,1
-0.9444941920245854,-0.2302102988280722,-0.127815592851762,2
-2.0843081745556797,0.42184458699399385,0.3985895083750028,2
0.19531979050650908,-0.007516377339411783,-0.35608352765075063,1
0.19531979050650908,1.0222769852502986,0.24430680220347703,0
-0.18461820367052242,-0.716536043608544,-0.3463463566738483,2
-0.18461820367052242,1.462204473625181,-0.12268466788131084,0
-0.564556197847554,0.825645188701928,-0.33708426182294826,0
1.715071767214635,1.4926939131079888,-0.3553551302706987,0
0.19531979050650908,-0.11601509906138872,-0.3920190060102211,1
-1.7043701803786484,-0.7566179979334746,-0.01776290048890079,2
0.5752577846835405,-0.4639134758124611,-0.01656166318398988,1
-0.564556197847554,0.20354846461756793,0.14419436340064226,2
1.3351337730376036,1.3765802103728806,0.9794135004524854,0
-0.18461820367052242,1.5072745356680146,-0.17314043894344297,0
0.19531979050650908,1.9138495878225934,-0.13606780113753286,0
-0.18461820367052242,0.11169644557545882,-0.022329827467515623,0
0.5752577846835405,0.5229054202845402,-0.30404979157586604,0
0.5752577846835405,1.7269873986980464,-0.10960625010239729,0
0.5752577846835405,0.08321405535192603,-0.33445766499042356,1
0.5752577846835405,-0.02575691325458648,-0.05963646534968837,1
0.5752577846835405,0.30826921126326273,-0.09317119047134136,1
1.715071767214635,0.07412330282462201,-0.2987120040529399,1
1.715071767214635,0.004732526228221755,-0.030347993447152874,1
0.19531979050650908,-0.6943404400353863,-0.2315045394160057,1
1.715071767214635,0.03607791318924974,-0.20968678130366056,1
0.5752577846835405,-0.6505395414947407,-0.14464649345004954,1
0.5752577846835405,0.3258899231424846,-0.11767681119473526,1
-0.564556197847554,0.07373960223093723,0.011760910912639146,2
-0.18461820367052242,-0.477697181754834,-0.04666814396337094,2
1.3351337730376036,0.43663181756600417,-0.21782069069754278,1
-0.564556197847554,1.376668756663731,-0.2293983464053926,0
-1.7043701803786484,1.511583788489399,-0.12944886659169932,0
-0.9444941920245854,-0.007870562502813224,-0.10562825612428188,2
-1.3244321862016168,-0.49841701381381887,0.381136955181951,2
-1.7043701803786484,-0.7639083092134875,0.04534534556992664,2
-2.0843081745556797,0.9881866632729093,0.051174878533436996,2
-2.4642461687327115,-0.08384328005242386,-0.07419283019496008,2
-2.0843081745556797,0.6374548052146253,-0.019270605884444847,2
-0.18461820367052242,-0.2922222178536091,-0.16400882879877432,2
0.5752577846835405,-1.020338367516136,-0.0456770685227949,1
0.19531979050650908,0.6308433488311316,-0.24663002164106682,0
-1.7043701803786484,-1.9793832437164067,-0.2711127141716717,2
0.955195778860572,1.2999876687873173,-0.2952231079608828,0
-0.18461820367052242,0.555992217632292,-0.31327492105800425,0
-0.564556197847554,-1.8899514899575414,-0.36705367912455983,2
-0.9444941920245854,-1.2328494655570048,-0.08084357557569251,2
0.5752577846835405,0.6673539360917641,-0.15544942003496487,0
0.5752577846835405,0.3913846629414691,-0.37114623753437453,0
-0.18461820367052242,-1.4413464650793237,-0.30235082817408504,2
-0.564556197847554,-0.23153849319082756,-0.09081469382064879,2
0.19531979050650908,-1.1911736779967677,-0.2664208614188662,1
0.955195778860572,-0.01811241681117175,-0.12889672207066083,1
-0.564556197847554,-0.03862564085817245,-0.35325175566675,2
-0.9444941920245854,0.3395850827940076,-0.1496263273137973,2
0.5752577846835405,0.4181551582085619,-0.15180441998745894,0
-0.9444941920245854,0.8334372622967599,-0.024309359590351107,0
0.5752577846835405,-0.49558353250660725,0.12303669921417279,1
0.955195778860572,0.6332045832538079,-0.10213249966362888,0
0.19531979050650908,0.3312027005935064,-0.2266413594657248,0
0.19531979050650908,-0.7441624863538567,-0.038105503129334556,1
0.19531979050650908,-1.0942154895156213,-0.2131256315947313,1
0.5752577846835405,-1.0043114888722204,0.013607215878832148,1
1.715071767214635,-0.04812960940944445,-0.15511965727248314,1
0.19531979050650908,0.7625411987559031,-0.08402305034370534,0
0.19531979050650908,2.0112800231882755,-0.2228589581316385,0
0.19531979050650908,-0.4722958580129619,-0.2100489159085576,1
-0.9444941920245854,0.05293122388110202,-0.06254424809123099,2
-0.18461820367052242,-1.668585762831636,-0.3416366771636786,2
0.955195778860572,1.7798495343357126,-0.04433656643527482,0
-1.7043701803786484,-0.47167603397700936,-0.25359058662515044,2
-1.7043701803786484,-0.4832460826481235,-0.47333058321303967,2
-0.564556197847554,1.1476585330944113,0.015240412486871035,0
-2.844184162909743,-0.7358096195836396,0.7161857305624745,2
0.955195778860572,-0.6771034287498493,0.13000424558645227,1
0.19531979050650908,-1.0130185408058392,-0.09598868412570845,1
1.3351337730376036,0.21160617708495078,-0.34444971800138263,1
0.5752577846835405,0.4268031792816142,0.5624516040804685,0
-0.564556197847554,-0.08213138509598332,-0.03491045179364229,2
0.5752577846835405,0.8806619507502861,-0.2761641687720362,0
0.19531979050650908,-1.3860050332978475,-0.025380906282828533,1
0.19531979050650908,0.7808997963922115,-0.14142918800589663,0
0.955195778860572,-0.493428906095915,0.08176760207970306,1
-0.18461820367052242,-1.3567257264566612,-0.3397025044086988,2
0.5752577846835405,-0.9343008882398676,-0.3162773557180984,1
0.19531979050650908,-2.105502677317606,0.4513845986095974,1
1.3351337730376036,-0.2786746353535036,-0.3185659430425823,1
-0.18461820367052242,-0.004299195438515225,-0.1135047634998697,2
0.955195778860572,-1.5203002410875635,-0.32277626873132326,1
0.19531979050650908,-0.5571527200778922,-0.06036665862882299,1
0.955195778860572,-1.4590557232493964,-0.01025626378709563,1
0.955195778860572,-0.6968197361791966,0.10545997327017889,1
-1.3244321862016168,-1.0074401244822666,-0.31315692266821643,2
1.3351337730376036,-0.21140896973751205,-0.0782026577729592,1
0.19531979050650908,0.6440072307375521,0.004703342074960464,0
1.715071767214635,-0.04984150436588479,-0.2406130640789806,1
-0.564556197847554,-0.4032002357193963,-0.039055096601786056,2
-1.3244321862016168,-0.7542272480805147,0.41381955534521114,2
0.955195778860572,-1.389399307780445,-0.15722227101646996,1
0.19531979050650908,-0.34101122411215845,-0.11996416917354369,1
0.5752577846835405,0.6745557010809268,-0.0927276468429839,0
-0.18461820367052242,-2.123448058929946,-0.16832616639378836,2
0.5752577846835405,-0.76615148191503,-0.4441646496192506,1
0.955195778860572,-1.7651602507190978,-0.00018946960699959704,1
